play_sequence,game_id,inning,inning_half,batter,pitcher,play_description,play_result,pitch_sequence,raw_text,game_game_id,game_api_url,game_scraped_at,game_away_team,game_home_team
1,401764523,1,Top,Batter_35983,Pitcher_35397,Pitch 2 : Ball In Play,Lineout,"[{'pitch_number': 1, 'result': 'Foul Ball', 'pitch_type': 'Four-seam FB', 'velocity': 91, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Line Out', 'pitch_type': 'Changeup', 'velocity': 81, 'balls': 0, 'strikes': 1}]",At-bat 4017645230001: Pitch 2 : Ball In Play,401764523,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401764523,2025-08-06T16:28:04.175844,SD,ATH
2,401764523,1,Top,Batter_39572,Pitcher_35397,Pitch 2 : Ball In Play,Flyout,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 91, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Fly Out', 'pitch_type': 'Slider', 'velocity': 83, 'balls': 1, 'strikes': 0}]",At-bat 4017645230002: Pitch 2 : Ball In Play,401764523,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401764523,2025-08-06T16:28:04.175844,SD,ATH
3,401764523,1,Top,Batter_31097,Pitcher_35397,Pitch 3 : Ball In Play,Home Run,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 92, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Ball', 'pitch_type': 'Slider', 'velocity': 83, 'balls': 2, 'strikes': 0}, {'pitch_number': 3, 'result': 'Home Run', 'pitch_type': 'Four-seam FB', 'velocity': 92, 'balls': 2, 'strikes': 0}]",At-bat 4017645230003: Pitch 3 : Ball In Play,401764523,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401764523,2025-08-06T16:28:04.175844,SD,ATH
4,401764523,1,Top,Batter_31606,Pitcher_35397,Pitch 6 : Ball In Play,Single,"[{'pitch_number': 1, 'result': 'Strike Looking', 'pitch_type': 'Four-seam FB', 'velocity': 90, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 91, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Strike Swinging', 'pitch_type': 'Changeup', 'velocity': 81, 'balls': 1, 'strikes': 2}, {'pitch_number': 4, 'result': 'Ball', 'pitch_type': 'Changeup', 'velocity': 81, 'balls': 2, 'strikes': 2}, {'pitch_number': 5, 'result': 'Foul Ball', 'pitch_type': 'Changeup', 'velocity': 80, 'balls': 2, 'strikes': 2}, {'pitch_number': 6, 'result': 'Single', 'pitch_type': 'Four-seam FB', 'velocity': 92, 'balls': 2, 'strikes': 2}]",At-bat 4017645230004: Pitch 6 : Ball In Play,401764523,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401764523,2025-08-06T16:28:04.175844,SD,ATH
5,401764523,1,Top,Batter_36006,Pitcher_35397,Pitch 3 : Ball In Play,Double,"[{'pitch_number': 1, 'result': 'Strike Looking', 'pitch_type': 'Four-seam FB', 'velocity': 90, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 91, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Double', 'pitch_type': 'Four-seam FB', 'velocity': 92, 'balls': 1, 'strikes': 1}]",At-bat 4017645230005: Pitch 3 : Ball In Play,401764523,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401764523,2025-08-06T16:28:04.175844,SD,ATH
6,401764523,1,Top,Batter_36364,Pitcher_35397,,Other,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Slider', 'velocity': 83, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Strike Looking', 'pitch_type': 'Slider', 'velocity': 84, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 91, 'balls': 2, 'strikes': 1}, {'pitch_number': 4, 'result': 'Foul Ball', 'pitch_type': 'Slider', 'velocity': 85, 'balls': 2, 'strikes': 2}, {'pitch_number': 5, 'result': 'Ball', 'pitch_type': 'Slider', 'velocity': 86, 'balls': 3, 'strikes': 2}, {'pitch_number': 6, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 92, 'balls': 4, 'strikes': 2}]",At-bat 4017645230006: ,401764523,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401764523,2025-08-06T16:28:04.175844,SD,ATH
7,401764523,1,Top,Batter_30382,Pitcher_35397,,Other,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Slider', 'velocity': 84, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Ball', 'pitch_type': 'Changeup', 'velocity': 80, 'balls': 2, 'strikes': 0}, {'pitch_number': 3, 'result': 'Strike Swinging', 'pitch_type': 'Changeup', 'velocity': 80, 'balls': 2, 'strikes': 1}, {'pitch_number': 4, 'result': 'Strike Looking', 'pitch_type': 'Four-seam FB', 'velocity': 92, 'balls': 2, 'strikes': 2}, {'pitch_number': 5, 'result': 'Batter Reached On Error - Batter To First', 'pitch_type': 'Changeup', 'velocity': 81, 'balls': 2, 'strikes': 2}]",At-bat 4017645230007: ,401764523,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401764523,2025-08-06T16:28:04.175844,SD,ATH
8,401764523,1,Mid,Batter_42641,Pitcher_35397,Pitch 6 : Ball In Play,Groundout,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 90, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Strike Swinging', 'pitch_type': 'Changeup', 'velocity': 82, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 90, 'balls': 2, 'strikes': 1}, {'pitch_number': 4, 'result': 'Strike Looking', 'pitch_type': 'Slider', 'velocity': 84, 'balls': 2, 'strikes': 2}, {'pitch_number': 5, 'result': 'Ball', 'pitch_type': 'Changeup', 'velocity': 82, 'balls': 3, 'strikes': 2}, {'pitch_number': 6, 'result': 'Ground Out', 'pitch_type': 'Changeup', 'velocity': 80, 'balls': 3, 'strikes': 2}]",At-bat 4017645230008: Pitch 6 : Ball In Play,401764523,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401764523,2025-08-06T16:28:04.175844,SD,ATH
9,401764523,1,Bottom,Batter_4917919,Pitcher_34943,Pitch 3 : Ball In Play,Single,"[{'pitch_number': 1, 'result': 'Strike Looking', 'pitch_type': 'Four-seam FB', 'velocity': 96, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 96, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Single', 'pitch_type': 'Changeup', 'velocity': 78, 'balls': 1, 'strikes': 1}]",At-bat 4017645230101: Pitch 3 : Ball In Play,401764523,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401764523,2025-08-06T16:28:04.175844,SD,ATH
10,401764523,1,Bottom,Batter_40926,Pitcher_34943,Pitch 1 : Ball In Play,Lineout,"[{'pitch_number': 1, 'result': 'Line Out', 'pitch_type': 'Slider', 'velocity': 86, 'balls': 0, 'strikes': 0}]",At-bat 4017645230102: Pitch 1 : Ball In Play,401764523,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401764523,2025-08-06T16:28:04.175844,SD,ATH
11,401764523,1,Bottom,Batter_4686066,Pitcher_34943,,Other,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Slider', 'velocity': 86, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Ball', 'pitch_type': 'Slider', 'velocity': 87, 'balls': 2, 'strikes': 0}, {'pitch_number': 3, 'result': 'Ball', 'pitch_type': 'Slider', 'velocity': 88, 'balls': 3, 'strikes': 0}, {'pitch_number': 4, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 95, 'balls': 4, 'strikes': 0}]",At-bat 4017645230103: ,401764523,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401764523,2025-08-06T16:28:04.175844,SD,ATH
12,401764523,1,Bottom,Batter_42598,Pitcher_34943,Pitch 3 : Ball In Play,Flyout,"[{'pitch_number': 1, 'result': 'Strike Looking', 'pitch_type': 'Four-seam FB', 'velocity': 97, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Foul Ball', 'pitch_type': 'Sinker', 'velocity': 96, 'balls': 0, 'strikes': 2}, {'pitch_number': 3, 'result': 'Fly Out', 'pitch_type': 'Slider', 'velocity': 88, 'balls': 0, 'strikes': 2}]",At-bat 4017645230104: Pitch 3 : Ball In Play,401764523,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401764523,2025-08-06T16:28:04.175844,SD,ATH
13,401764523,1,Bottom,Batter_42410,Pitcher_34943,Pitch 3 : Ball In Play,Double,"[{'pitch_number': 1, 'result': 'Strike Looking', 'pitch_type': 'Slider', 'velocity': 88, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Foul Ball', 'pitch_type': 'Four-seam FB', 'velocity': 97, 'balls': 0, 'strikes': 2}, {'pitch_number': 3, 'result': 'Double', 'pitch_type': 'Four-seam FB', 'velocity': 96, 'balls': 0, 'strikes': 2}]",At-bat 4017645230105: Pitch 3 : Ball In Play,401764523,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401764523,2025-08-06T16:28:04.175844,SD,ATH
14,401764523,1,Bottom,Batter_33743,Pitcher_34943,Pitch 3 : Ball In Play,Single,"[{'pitch_number': 1, 'result': 'Foul Ball', 'pitch_type': 'Slider', 'velocity': 88, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Strike Looking', 'pitch_type': 'Sinker', 'velocity': 95, 'balls': 0, 'strikes': 2}, {'pitch_number': 3, 'result': 'Single', 'pitch_type': 'Sinker', 'velocity': 96, 'balls': 0, 'strikes': 2}]",At-bat 4017645230106: Pitch 3 : Ball In Play,401764523,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401764523,2025-08-06T16:28:04.175844,SD,ATH
15,401764523,1,Bottom,Batter_4719300,Pitcher_34943,Pitch 1 : Ball In Play,Single,"[{'pitch_number': 1, 'result': 'Single', 'pitch_type': 'Slider', 'velocity': 87, 'balls': 0, 'strikes': 0}]",At-bat 4017645230107: Pitch 1 : Ball In Play,401764523,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401764523,2025-08-06T16:28:04.175844,SD,ATH
16,401764523,1,Bottom,Batter_32721,Pitcher_34943,Pitch 1 : Ball In Play,Double,"[{'pitch_number': 1, 'result': 'Double', 'pitch_type': 'Slider', 'velocity': 87, 'balls': 0, 'strikes': 0}]",At-bat 4017645230108: Pitch 1 : Ball In Play,401764523,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401764523,2025-08-06T16:28:04.175844,SD,ATH
17,401764523,1,Bottom,Batter_4872686,Pitcher_34943,Pitch 1 : Ball In Play,Single,"[{'pitch_number': 1, 'result': 'Single', 'pitch_type': 'Four-seam FB', 'velocity': 95, 'balls': 0, 'strikes': 0}]",At-bat 4017645230109: Pitch 1 : Ball In Play,401764523,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401764523,2025-08-06T16:28:04.175844,SD,ATH
