play_sequence,game_id,inning,inning_half,batter,pitcher,play_description,play_result,pitch_sequence,raw_text,game_game_id,game_api_url,game_scraped_at,game_away_team,game_home_team
1,401696615,1,Top,Batter_33956,Pitcher_4629089,,Other,"[{'pitch_number': 1, 'result': 'Strike Looking', 'pitch_type': 'Four-seam FB', 'velocity': 95, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 95, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Strike Looking', 'pitch_type': 'Four-seam FB', 'velocity': 96, 'balls': 1, 'strikes': 2}, {'pitch_number': 4, 'result': 'Strike Swinging', 'pitch_type': 'Four-seam FB', 'velocity': 95, 'balls': 1, 'strikes': 3}]",At-bat 4016966150001: ,401696615,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401696615,2025-08-06T16:32:08.277153,CHW,SEA
2,401696615,1,Top,Batter_41684,Pitcher_4629089,Pitch 2 : Ball In Play,Home Run,"[{'pitch_number': 1, 'result': 'Strike Swinging', 'pitch_type': 'Four-seam FB', 'velocity': 95, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Home Run', 'pitch_type': 'Four-seam FB', 'velocity': 96, 'balls': 0, 'strikes': 1}]",At-bat 4016966150002: Pitch 2 : Ball In Play,401696615,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401696615,2025-08-06T16:32:08.277153,CHW,SEA
3,401696615,1,Top,Batter_34986,Pitcher_4629089,,Other,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 95, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Strike Looking', 'pitch_type': 'Four-seam FB', 'velocity': 95, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Strike Looking', 'pitch_type': 'Sinker', 'velocity': 95, 'balls': 1, 'strikes': 2}, {'pitch_number': 4, 'result': 'Ball', 'pitch_type': 'Changeup', 'velocity': 89, 'balls': 2, 'strikes': 2}, {'pitch_number': 5, 'result': 'Strike Swinging', 'pitch_type': 'Slider', 'velocity': 89, 'balls': 2, 'strikes': 3}]",At-bat 4016966150003: ,401696615,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401696615,2025-08-06T16:32:08.277153,CHW,SEA
4,401696615,1,Mid,Batter_39631,Pitcher_4629089,Pitch 3 : Ball In Play,Groundout,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Sinker', 'velocity': 95, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Ball', 'pitch_type': 'Sweeper', 'velocity': 85, 'balls': 2, 'strikes': 0}, {'pitch_number': 3, 'result': 'Ground Out', 'pitch_type': 'Sinker', 'velocity': 96, 'balls': 2, 'strikes': 0}]",At-bat 4016966150004: Pitch 3 : Ball In Play,401696615,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401696615,2025-08-06T16:32:08.277153,CHW,SEA
5,401696615,1,Bottom,Batter_36488,Pitcher_42823,Pitch 1 : Ball In Play,Popout,"[{'pitch_number': 1, 'result': 'Pop Out', 'pitch_type': 'Sinker', 'velocity': 94, 'balls': 0, 'strikes': 0}]",At-bat 4016966150101: Pitch 1 : Ball In Play,401696615,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401696615,2025-08-06T16:32:08.277153,CHW,SEA
6,401696615,1,Bottom,Batter_41292,Pitcher_42823,,Other,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 93, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Strike Looking', 'pitch_type': 'Changeup', 'velocity': 91, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 95, 'balls': 2, 'strikes': 1}, {'pitch_number': 4, 'result': 'Foul Ball', 'pitch_type': 'Four-seam FB', 'velocity': 95, 'balls': 2, 'strikes': 2}, {'pitch_number': 5, 'result': 'Foul Ball', 'pitch_type': 'Cutter', 'velocity': 89, 'balls': 2, 'strikes': 2}, {'pitch_number': 6, 'result': 'Strike Swinging', 'pitch_type': 'Four-seam FB', 'velocity': 96, 'balls': 2, 'strikes': 3}]",At-bat 4016966150102: ,401696615,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401696615,2025-08-06T16:32:08.277153,CHW,SEA
7,401696615,1,Bottom,Batter_41044,Pitcher_42823,Pitch 5 : Ball In Play,Single,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 96, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 95, 'balls': 2, 'strikes': 0}, {'pitch_number': 3, 'result': 'Foul Ball', 'pitch_type': 'Sinker', 'velocity': 93, 'balls': 2, 'strikes': 1}, {'pitch_number': 4, 'result': 'Strike Swinging', 'pitch_type': 'Four-seam FB', 'velocity': 96, 'balls': 2, 'strikes': 2}, {'pitch_number': 5, 'result': 'Single', 'pitch_type': 'Four-seam FB', 'velocity': 96, 'balls': 2, 'strikes': 2}]",At-bat 4016966150103: Pitch 5 : Ball In Play,401696615,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401696615,2025-08-06T16:32:08.277153,CHW,SEA
8,401696615,1,Bottom,Batter_35066,Pitcher_42823,Pitch 4 : Ball In Play,Single,"[{'pitch_number': 1, 'result': 'Foul Ball', 'pitch_type': 'Changeup', 'velocity': 91, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 95, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Foul Ball', 'pitch_type': 'Four-seam FB', 'velocity': 95, 'balls': 1, 'strikes': 2}, {'pitch_number': 4, 'result': 'Single', 'pitch_type': 'Changeup', 'velocity': 92, 'balls': 1, 'strikes': 2}]",At-bat 4016966150104: Pitch 4 : Ball In Play,401696615,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401696615,2025-08-06T16:32:08.277153,CHW,SEA
9,401696615,1,End,Batter_32367,Pitcher_42823,,Other,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Cutter', 'velocity': 88, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Strike Looking', 'pitch_type': 'Sinker', 'velocity': 94, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Ball', 'pitch_type': 'Cutter', 'velocity': 89, 'balls': 2, 'strikes': 1}]",At-bat 4016966150105: ,401696615,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401696615,2025-08-06T16:32:08.277153,CHW,SEA
10,401696615,2,Top,Batter_4872685,Pitcher_4629089,Pitch 2 : Ball In Play,Flyout,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 94, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Fly Out', 'pitch_type': 'Sinker', 'velocity': 95, 'balls': 1, 'strikes': 0}]",At-bat 4016966150201: Pitch 2 : Ball In Play,401696615,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401696615,2025-08-06T16:32:08.277153,CHW,SEA
11,401696615,2,Top,Batter_4917824,Pitcher_4629089,,Other,"[{'pitch_number': 1, 'result': 'Foul Ball', 'pitch_type': 'Four-seam FB', 'velocity': 94, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Foul Ball', 'pitch_type': 'Four-seam FB', 'velocity': 95, 'balls': 0, 'strikes': 2}, {'pitch_number': 3, 'result': 'Strike Looking', 'pitch_type': 'Sinker', 'velocity': 95, 'balls': 0, 'strikes': 3}]",At-bat 4016966150202: ,401696615,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401696615,2025-08-06T16:32:08.277153,CHW,SEA
12,401696615,2,Top,Batter_4743772,Pitcher_4629089,Pitch 2 : Ball In Play,Double,"[{'pitch_number': 1, 'result': 'Strike Swinging', 'pitch_type': 'Four-seam FB', 'velocity': 95, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Double', 'pitch_type': 'Changeup', 'velocity': 89, 'balls': 0, 'strikes': 1}]",At-bat 4016966150203: Pitch 2 : Ball In Play,401696615,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401696615,2025-08-06T16:32:08.277153,CHW,SEA
13,401696615,2,Mid,Batter_4424742,Pitcher_4629089,,Other,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 95, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 95, 'balls': 2, 'strikes': 0}, {'pitch_number': 3, 'result': 'Foul Ball', 'pitch_type': 'Four-seam FB', 'velocity': 95, 'balls': 2, 'strikes': 1}, {'pitch_number': 4, 'result': 'Strike Looking', 'pitch_type': 'Four-seam FB', 'velocity': 95, 'balls': 2, 'strikes': 2}, {'pitch_number': 5, 'result': 'Strike Swinging', 'pitch_type': 'Four-seam FB', 'velocity': 96, 'balls': 2, 'strikes': 3}]",At-bat 4016966150204: ,401696615,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401696615,2025-08-06T16:32:08.277153,CHW,SEA
14,401696615,2,Bottom,Batter_32367,Pitcher_42823,,Other,"[{'pitch_number': 1, 'result': 'Strike Swinging', 'pitch_type': 'Changeup', 'velocity': 91, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Strike Swinging', 'pitch_type': 'Cutter', 'velocity': 88, 'balls': 0, 'strikes': 2}, {'pitch_number': 3, 'result': 'Strike Swinging', 'pitch_type': 'Cutter', 'velocity': 86, 'balls': 0, 'strikes': 3}]",At-bat 4016966150301: ,401696615,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401696615,2025-08-06T16:32:08.277153,CHW,SEA
15,401696615,2,Bottom,Batter_32525,Pitcher_42823,Pitch 5 : Ball In Play,Flyout,"[{'pitch_number': 1, 'result': 'Strike Looking', 'pitch_type': 'Curve', 'velocity': 78, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Ball', 'pitch_type': 'Changeup', 'velocity': 91, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Ball', 'pitch_type': 'Changeup', 'velocity': 91, 'balls': 2, 'strikes': 1}, {'pitch_number': 4, 'result': 'Foul Ball', 'pitch_type': 'Four-seam FB', 'velocity': 95, 'balls': 2, 'strikes': 2}, {'pitch_number': 5, 'result': 'Fly Out', 'pitch_type': 'Cutter', 'velocity': 87, 'balls': 2, 'strikes': 2}]",At-bat 4016966150302: Pitch 5 : Ball In Play,401696615,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401696615,2025-08-06T16:32:08.277153,CHW,SEA
16,401696615,2,Bottom,Batter_4345621,Pitcher_42823,Pitch 3 : Ball In Play,Home Run,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Curve', 'velocity': 79, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Strike Looking', 'pitch_type': 'Curve', 'velocity': 79, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Home Run', 'pitch_type': 'Four-seam FB', 'velocity': 95, 'balls': 1, 'strikes': 1}]",At-bat 4016966150303: Pitch 3 : Ball In Play,401696615,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401696615,2025-08-06T16:32:08.277153,CHW,SEA
17,401696615,2,End,Batter_33210,Pitcher_42823,,Other,"[{'pitch_number': 1, 'result': 'Strike Looking', 'pitch_type': 'Four-seam FB', 'velocity': 94, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 95, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Strike Looking', 'pitch_type': 'Curve', 'velocity': 79, 'balls': 1, 'strikes': 2}, {'pitch_number': 4, 'result': 'Strike Swinging', 'pitch_type': 'Four-seam FB', 'velocity': 95, 'balls': 1, 'strikes': 3}]",At-bat 4016966150304: ,401696615,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401696615,2025-08-06T16:32:08.277153,CHW,SEA
