play_sequence,game_id,inning,inning_half,batter,pitcher,play_description,play_result,pitch_sequence,raw_text,game_game_id,game_api_url,game_scraped_at,game_away_team,game_home_team
1,401695266,1,Top,Batter_40593,Pitcher_33856,Pitch 2 : Ball In Play,Groundout,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 93, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Ground Out', 'pitch_type': 'Cutter', 'velocity': 88, 'balls': 1, 'strikes': 0}]",At-bat 4016952660001: Pitch 2 : Ball In Play,401695266,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695266,2025-08-06T16:08:55.166008,SEA,BOS
2,401695266,1,Top,Batter_41044,Pitcher_33856,Pitch 1 : Ball In Play,Single,"[{'pitch_number': 1, 'result': 'Single', 'pitch_type': 'Four-seam FB', 'velocity': 93, 'balls': 0, 'strikes': 0}]",At-bat 4016952660002: Pitch 1 : Ball In Play,401695266,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695266,2025-08-06T16:08:55.166008,SEA,BOS
3,401695266,1,Top,Batter_41292,Pitcher_33856,,Other,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Curve', 'velocity': 79, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 92, 'balls': 2, 'strikes': 0}, {'pitch_number': 3, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 93, 'balls': 3, 'strikes': 0}, {'pitch_number': 4, 'result': 'Ball', 'pitch_type': 'Sinker', 'velocity': 91, 'balls': 4, 'strikes': 0}]",At-bat 4016952660003: ,401695266,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695266,2025-08-06T16:08:55.166008,SEA,BOS
4,401695266,1,Top,Batter_36488,Pitcher_33856,,Other,"[{'pitch_number': 1, 'result': 'Foul Ball', 'pitch_type': 'Cutter', 'velocity': 90, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Ball', 'pitch_type': 'Changeup', 'velocity': 85, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Strike Looking', 'pitch_type': 'Slurve', 'velocity': 80, 'balls': 1, 'strikes': 2}, {'pitch_number': 4, 'result': 'Foul Ball', 'pitch_type': 'Four-seam FB', 'velocity': 93, 'balls': 1, 'strikes': 2}, {'pitch_number': 5, 'result': 'Strike Looking', 'pitch_type': 'Four-seam FB', 'velocity': 93, 'balls': 1, 'strikes': 3}]",At-bat 4016952660004: ,401695266,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695266,2025-08-06T16:08:55.166008,SEA,BOS
5,401695266,1,Top,Batter_33667,Pitcher_33856,Pitch 2 : Ball In Play,Single,"[{'pitch_number': 1, 'result': 'Strike Looking', 'pitch_type': 'Cutter', 'velocity': 90, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Single', 'pitch_type': 'Changeup', 'velocity': 85, 'balls': 0, 'strikes': 1}]",At-bat 4016952660005: Pitch 2 : Ball In Play,401695266,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695266,2025-08-06T16:08:55.166008,SEA,BOS
6,401695266,1,Mid,Batter_29703,Pitcher_33856,,Other,"[{'pitch_number': 1, 'result': 'Strike Looking', 'pitch_type': 'Sinker', 'velocity': 92, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Ball', 'pitch_type': 'Cutter', 'velocity': 89, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 92, 'balls': 2, 'strikes': 1}, {'pitch_number': 4, 'result': 'Strike Swinging', 'pitch_type': 'Slurve', 'velocity': 81, 'balls': 2, 'strikes': 2}, {'pitch_number': 5, 'result': 'Foul Ball', 'pitch_type': 'Changeup', 'velocity': 86, 'balls': 2, 'strikes': 2}, {'pitch_number': 6, 'result': 'Strike Swinging', 'pitch_type': 'Slurve', 'velocity': 81, 'balls': 2, 'strikes': 3}]",At-bat 4016952660006: ,401695266,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695266,2025-08-06T16:08:55.166008,SEA,BOS
7,401695266,1,Bottom,Batter_41610,Pitcher_4297897,,Other,"[{'pitch_number': 1, 'result': 'Strike Looking', 'pitch_type': 'Sinker', 'velocity': 93, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Foul Ball', 'pitch_type': 'Changeup', 'velocity': 87, 'balls': 0, 'strikes': 2}, {'pitch_number': 3, 'result': 'Ball', 'pitch_type': 'Changeup', 'velocity': 84, 'balls': 1, 'strikes': 2}, {'pitch_number': 4, 'result': 'Strike Swinging', 'pitch_type': 'Changeup', 'velocity': 85, 'balls': 1, 'strikes': 3}]",At-bat 4016952660101: ,401695266,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695266,2025-08-06T16:08:55.166008,SEA,BOS
8,401695266,1,Bottom,Batter_33859,Pitcher_4297897,,Other,"[{'pitch_number': 1, 'result': 'Strike Swinging', 'pitch_type': 'Four-seam FB', 'velocity': 93, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Strike Swinging', 'pitch_type': 'Four-seam FB', 'velocity': 95, 'balls': 0, 'strikes': 2}, {'pitch_number': 3, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 94, 'balls': 1, 'strikes': 2}, {'pitch_number': 4, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 94, 'balls': 2, 'strikes': 2}, {'pitch_number': 5, 'result': 'Strike Swinging', 'pitch_type': 'Four-seam FB', 'velocity': 94, 'balls': 2, 'strikes': 3}]",At-bat 4016952660102: ,401695266,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695266,2025-08-06T16:08:55.166008,SEA,BOS
9,401695266,1,Bottom,Batter_34886,Pitcher_4297897,Pitch 6 : Ball In Play,Double,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Sinker', 'velocity': 95, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Strike Looking', 'pitch_type': 'Sinker', 'velocity': 96, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Strike Looking', 'pitch_type': 'Slider', 'velocity': 82, 'balls': 1, 'strikes': 2}, {'pitch_number': 4, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 94, 'balls': 2, 'strikes': 2}, {'pitch_number': 5, 'result': 'Ball', 'pitch_type': 'Sinker', 'velocity': 95, 'balls': 3, 'strikes': 2}, {'pitch_number': 6, 'result': 'Double', 'pitch_type': 'Four-seam FB', 'velocity': 94, 'balls': 3, 'strikes': 2}]",At-bat 4016952660103: Pitch 6 : Ball In Play,401695266,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695266,2025-08-06T16:08:55.166008,SEA,BOS
10,401695266,1,End,Batter_4990055,Pitcher_4297897,Pitch 5 : Ball In Play,Flyout,"[{'pitch_number': 1, 'result': 'Strike Looking', 'pitch_type': 'Four-seam FB', 'velocity': 94, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Strike Swinging', 'pitch_type': 'Four-seam FB', 'velocity': 94, 'balls': 0, 'strikes': 2}, {'pitch_number': 3, 'result': 'Foul Ball', 'pitch_type': 'Four-seam FB', 'velocity': 95, 'balls': 0, 'strikes': 2}, {'pitch_number': 4, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 95, 'balls': 1, 'strikes': 2}, {'pitch_number': 5, 'result': 'Fly Out', 'pitch_type': 'Changeup', 'velocity': 86, 'balls': 1, 'strikes': 2}]",At-bat 4016952660104: Pitch 5 : Ball In Play,401695266,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695266,2025-08-06T16:08:55.166008,SEA,BOS
11,401695266,2,Top,Batter_4626239,Pitcher_33856,Pitch 2 : Ball In Play,Single,"[{'pitch_number': 1, 'result': 'Strike Looking', 'pitch_type': 'Cutter', 'velocity': 89, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Single', 'pitch_type': 'Sinker', 'velocity': 91, 'balls': 0, 'strikes': 1}]",At-bat 4016952660201: Pitch 2 : Ball In Play,401695266,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695266,2025-08-06T16:08:55.166008,SEA,BOS
12,401695266,2,Top,Batter_40858,Pitcher_33856,,Other,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 90, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Ball', 'pitch_type': 'Cutter', 'velocity': 88, 'balls': 2, 'strikes': 0}, {'pitch_number': 3, 'result': 'Bunt Single', 'pitch_type': 'Cutter', 'velocity': 88, 'balls': 2, 'strikes': 0}]",At-bat 4016952660202: ,401695266,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695266,2025-08-06T16:08:55.166008,SEA,BOS
13,401695266,2,Top,Batter_33210,Pitcher_33856,,Other,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Sinker', 'velocity': 91, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Ball', 'pitch_type': 'Sinker', 'velocity': 92, 'balls': 2, 'strikes': 0}, {'pitch_number': 3, 'result': 'Foul Ball', 'pitch_type': 'Sinker', 'velocity': 91, 'balls': 2, 'strikes': 1}, {'pitch_number': 4, 'result': 'Ball', 'pitch_type': 'Sinker', 'velocity': 91, 'balls': 3, 'strikes': 1}, {'pitch_number': 5, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 91, 'balls': 4, 'strikes': 1}]",At-bat 4016952660203: ,401695266,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695266,2025-08-06T16:08:55.166008,SEA,BOS
14,401695266,2,Top,Batter_40593,Pitcher_33856,Pitch 8 : Ball In Play,Lineout,"[{'pitch_number': 1, 'result': 'Strike Looking', 'pitch_type': 'Cutter', 'velocity': 89, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Foul Ball', 'pitch_type': 'Four-seam FB', 'velocity': 92, 'balls': 0, 'strikes': 2}, {'pitch_number': 3, 'result': 'Ball', 'pitch_type': 'Slurve', 'velocity': 81, 'balls': 1, 'strikes': 2}, {'pitch_number': 4, 'result': 'Ball', 'pitch_type': 'Slurve', 'velocity': 80, 'balls': 2, 'strikes': 2}, {'pitch_number': 5, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 93, 'balls': 3, 'strikes': 2}, {'pitch_number': 6, 'result': 'Foul Ball', 'pitch_type': 'Cutter', 'velocity': 89, 'balls': 3, 'strikes': 2}, {'pitch_number': 7, 'result': 'Foul Ball', 'pitch_type': 'Cutter', 'velocity': 90, 'balls': 3, 'strikes': 2}, {'pitch_number': 8, 'result': 'Line Out', 'pitch_type': 'Sinker', 'velocity': 92, 'balls': 3, 'strikes': 2}]",At-bat 4016952660204: Pitch 8 : Ball In Play,401695266,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695266,2025-08-06T16:08:55.166008,SEA,BOS
15,401695266,2,Mid,Batter_41044,Pitcher_33856,,Other,"[{'pitch_number': 1, 'result': 'Strike Looking', 'pitch_type': 'Slurve', 'velocity': 82, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Foul Ball', 'pitch_type': 'Four-seam FB', 'velocity': 93, 'balls': 0, 'strikes': 2}, {'pitch_number': 3, 'result': 'Strike Swinging', 'pitch_type': 'Curve', 'velocity': 79, 'balls': 0, 'strikes': 3}]",At-bat 4016952660205: ,401695266,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695266,2025-08-06T16:08:55.166008,SEA,BOS
